titulo,url,descricao,data_hora,texto_bruto,categoria,origem
"""Juros a 13,25%: veja opções mais vantajosas de investimento""",https://g1.globo.com/economia/noticia/2023/08/02/juros-a-1325percent-como-ficam-os-investimentos-e-quais-as-melhores-opcoes-para-aplicar-seu-dinheiro.ghtml,"""Apesar de corte na Selic, taxa continua em nível elevado, o que mantém a atratividade da renda fixa. Por outro lado, diversificação em renda variável passa a ser estratégia interessante, diz especialista.""",2023-08-02 21:47:40.539,""" José Cruz/ Agência Brasil                O Comitê de Política Monetária (Copom) reduziu nesta quarta-feira (2) a taxa básica de juros do país (Selic) de 13,75% para 13,25% ao ano, no primeiro corte em três anos. A decisão, além de baratear o crédito, impacta diretamente o rendimento de investimentos financeiros.        Mas, afinal, quais opções passam a ser mais vantajosas?       Com a queda da Selic, a tendência é que os investimentos em renda variável (de maior risco e sem retorno previsto no momento da aplicação) fiquem mais atrativos do que os de renda fixa.       Especialistas ouvidos pelo g1 ponderam, no entanto, que esse movimento deve ocorrer ao longo do tempo — e diante de possíveis novas reduções dos juros (entenda mais abaixo). Enquanto isso, com a Selic ainda elevada, ativos de renda fixa continuam tendo bom desempenho.             São exemplos de renda variável:      ações de empresas.determinados tipos de fundos de investimentos.fundos imobiliários.câmbio.      E de renda fixa:      títulos do Tesouro Direto.CDBs (Certificados de Depósitos Bancários).LCI (Letra de Crédito Imobiliário).LCA (Letra de Crédito do Agronegócio).      Já a poupança, preferida entre os brasileiros, continua com um dos piores desempenhos, mesmo tendo registrado em junho sua maior rentabilidade real — ou seja, descontada a inflação — em quase seis anos (veja os detalhes mais abaixo).      Comparativo de investimentos      Simulações do buscador de investimentos Yubb mostram que, com a Selic a 13,25%, diversos investimentos em renda fixa continuam atrativos, com rendimento real — ou seja, descontados a inflação projetada e o Imposto de Renda — de até quase 10% para o período de 12 meses. Veja abaixo:                    As opções com maior retorno previsto são as debêntures incentivadas — títulos emitidos por empresas para financiar seus projetos e operações. Na sequência, estão as LCIs e as LCAs. Todas essas aplicações são isentas do pagamento de Imposto de Renda (IR).       Com a Selic a 13,25% e a perspectiva de desaceleração da inflação, o retorno líquido real (ganho acima da inflação) esperado para uma aplicação no Tesouro Selic, por exemplo, é de 5,42% para o período de 12 meses.      Mais sobre a renda fixa: o que muda com o início das quedas na Selic      Já para os investimentos em CDB, a rentabilidade média projetada é de 2,91% em 12 meses para aplicações em títulos de bancos grandes e de 6,92% em bancos médios, já descontados inflação e IR.       O presidente e fundador do Yubb, Bernardo Pascowitch, afirma que o ciclo de queda dos juros deverá contribuir para maior aplicação de recursos nas empresas listadas na B3, a bolsa de valores brasileira.       Nesse sentido, a diversificação em renda variável por parte do pequeno investidor passa a ser uma estratégia interessante, mas desde que realizada em respeito ao seu perfil de tolerância ao risco e à volatilidade, diz.      Pascowitch sugere que, em renda fixa, o investidor também busque opções no mercado secundário — ambiente onde podem ser feitas negociações de títulos antes do seu vencimento. Para ter acesso a esse mercado, o investidor precisa do suporte de sua corretora ou banco de investimentos.             Tem sido possível encontrar ótimas oportunidades e altas rentabilidades de títulos de renda fixa no mercado secundário de bancos e corretoras, conclui.      Rendimento da poupança      Apesar de ser uma das opções menos rentáveis, a poupança registou em junho deste ano sua maior rentabilidade real (ou seja, descontada a inflação) em quase seis anos. É o que mostram dados compilados por Einar Rivero, do TradeMap.              Os ganhos reais da caderneta nos 12 meses encerrados em março chegaram a 5,22% — melhor resultado desde agosto de 2017, quando atingiu 5,05% na mesma base de comparação.       Os números da poupança estão no azul desde setembro de 2022, completando 10 meses seguidos de rendimentos acima da inflação.            Projeções      Especialistas ouvidos pelo g1 reforçam que a tendência é que a renda variável se torne mais atrativa do que a renda fixa. Esse movimento, no entanto, deve ser percebido ao longo do tempo — e diante de possíveis novas reduções da Selic.       Matheus Spiess, analista da Empiricus Research, ressalta que o início de um ciclo de queda de juros ajuda a fortalecer os ativos de risco, em especial os investimentos de longo prazo.      Dentro de bolsa de valores, a preferência é por ações que mais apanharam no ciclo de aperto monetário e estresse fiscal, que são as small caps [ações de empresas de capital aberto com baixo valor de mercado]. Elas são mais sensíveis a juros. Então, em um ciclo de flexibilização, tendem a ganhar mais, diz.      Segundo o especialista, os títulos atrelados à inflação com duração mais longa também têm uma maior atratividade nesse cenário.       Para Carlos Honorato, professor da FIA Business School, apesar de ainda ser cedo para uma migração em massa de investidores da renda fixa para a variável, esse é um movimento que deve ocorrer.      Como temos visto nos últimos dias, há uma tendência de aumento do investimento em bolsa de valores. Você começa a sair um pouco da renda fixa e vai comprar um pouco mais de risco, com títulos da Bolsa, fundos imobiliários e câmbio, diz.             Honorato destaca que esse pode ser o início de uma onda de valorização das ações. O mercado financeiro pode ser uma opção para aqueles que querem diversificar, diz, reforçando que os fundos multimercados podem sentir o impacto positivo diante do maior apetite por risco.       Vale lembrar que, na hora de investir, especialistas também recomendam que seja avaliada não só a rentabilidade, mas também os objetivos do investimento.       Além disso, é preciso levar em consideração o tempo que o dinheiro poderá ficar bloqueado, a necessidade de resgates antes do vencimento da aplicação e a disposição a assumir mais ou menos risco.       É recomendado ainda que o investidor já possua uma reserva de emergência constituída antes de partir para a diversificação e para opções de maior risco e prazos mais longos. Ou seja, antes de partir para o investimento, o primeiro passo é juntar dinheiro.""",Economia,G1
"""Moraes vota para descriminalizar porte de maconha para uso pessoal""",https://g1.globo.com/politica/noticia/2023/08/02/moraes-vota-pela-descriminalizacao-do-porte-de-maconha-para-consumo-proprio.ghtml,"""Corte analisa constitucionalidade de dispositivo da Lei de Drogas. Até o momento, 4 ministros votaram a favor da descriminalização do porte de maconha para uso próprio.""",2023-08-02 20:40:40.390,"""STF retoma julgamento que discute se é crime a posse de drogas para consumo pessoal                 Com quatro votos para liberar o porte de maconha para consumo pessoal, o Supremo Tribunal Federal (STF) suspendeu o julgamento que discute a descriminalização do porte de drogas para uso próprio. Ainda não há prazo para o caso ser retomado.        O relator da ação, ministro Gilmar Mendes, pediu mais tempo para analisar os votos apresentados e prometeu liberar o processo nos próximos dias.       A presidente da Corte, ministra Rosa Weber, atendeu ao pedido. No entanto, não designou data e se comprometeu a adaptar a agenda para quando o ministro puder liberar o caso. Ela também pontuou que gostaria de apresentar seu voto — Rosa se aposenta no fim de setembro.             O STF julga a constitucionalidade de um dispositivo da chamada Lei de Drogas, que considera crime adquirir, guardar e transportar entorpecentes para consumo pessoal.       No julgamento, porém, os ministros não vão tratar da venda de drogas, que vai seguir como ilegal.       Atualmente, embora seja crime, o porte de drogas para consumo pessoal não leva à prisão. Os processos correm em juizados especiais.       As punições aplicadas normalmente são advertência, prestação de serviços à comunidade e medidas educativas. A condenação não fica registrada nos antecedentes criminais.       Já a pena para o tráfico de drogas varia de 5 a 20 anos de prisão.      Voto de Moraes             Reprodução/TV Justiça              O ministro Alexandre de Moraes foi o único a votar na sessão desta quarta. Ele defendeu a descriminalização do porte de maconha para consumo pessoal.       O ministro ainda argumentou que é preciso fixar uma quantidade mínima para diferenciar o usuário do traficante, que seria de 25 a 60 gramas da droga.       O voto de Moraes foi o quarto pela liberação do porte para a maconha. Outros sete ministros ainda precisam se manifestar — Cristiano Zanin, ministro que vai tomar posse nesta quinta (3), também poderá participar do julgamento.             Em seu voto, o ministro mencionou experiência de outros países a respeito da despenalização do porte de drogas. Ele afirmou que “não há uma cartilha correta para tratar a questão”.             Alexandre de Moraes ressaltou que o Brasil deixou de ser um corredor do tráfico, por onde passa a droga, para ser um dos maiores consumidores de drogas, sendo o maior consumidor de maconha e o segundo maior consumidor de cocaína do mundo.      O Brasil, infelizmente, hoje é um mercado consumidor extremamente atraente para todos os cartéis do mundo de entorpecentes”, disse.       Em referência a estudos, Moraes declarou que as mudanças da Lei de Drogas produziram efeitos diversos do esperado, sendo que uma grande parte dos usuários passou a ser presa como traficante.      Quantidade      Ao votar pela descriminalização do porte de maconha para consumo pessoal, Alexandre de Moraes defendeu a fixação de uma faixa para enquadrar o porte da droga nessa hipótese. Ele propôs que medida seja de 25 a 60 gramas ou seis plantas fêmeas.       Segundo o ministro, isso é necessário para garantir a aplicação isonômica da lei, sem levar em conta a cor da pele, classe social, entre outros fatores.       Moraes disse ainda que a quantidade não pode ser o único critério que defina o porte para uso pessoal.""",Política,G1
"""Moraes manda apreender armas e passaporte de Carla Zambelli""",https://g1.globo.com/politica/noticia/2023/08/02/moraes-mandou-pf-apreender-passaporte-armas-e-objetos-acima-de-r-10-mil-de-zambelli-veja-detalhes.ghtml,"""Nesta quarta, PF prendeu o hacker Walter Delgatti Neto, da Vaza Jato, e fez buscas e apreensões em endereços da deputada. Zambelli nega participação em ato ilícito.""",2023-08-02 13:17:23.970,""" Wallace Martins/Futura Press/Estadão Conteúdo                Na decisão em que autorizou a operação da Polícia Federal desta quarta-feira (2) contra a deputada Carla Zambelli (PL-SP), o ministro Alexandre de Moraes, do Supremo Tribunal Federal (STF), determinou, entre outras medidas, a apreensão do passaporte, armas e bens acima de R$ 10 mil cuja origem não seja comprovadamente legal.        A TV Globo apurou detalhes do despacho do ministro, que foi assinado nesta terça-feira (1º). Nesta quarta, a PF prendeu o hacker Walter Delgatti Neto, da Vaza Jato, e fez buscas e apreensões em endereços de Carla Zambelli, como o gabinete parlamentar e o apartamento funcional dela, em Brasília.                                   Policiais deixam apartamento da deputada Carla Zambelli após buscas e apreensões         A PF investiga a inserção de alvarás de soltura e mandados de prisão falsos no Banco Nacional de Monitoramento de Prisões (BNMP).       Entre outras medidas contra a deputada, Moraes determinou:      a apreensão de armas, munições, computadores, tablets, celulares e outros dispositivos eletrônicos, e passaporte.busca e apreensão em carros eventualmente encontrados nos endereços da deputada e nos armários de garagem.apreensão de dinheiro e bens (joias, veículos, obras de arte e outros objetos) em valores superiores a R$ 10 mil, desde que não comprovada cabalmente, no local dos fatos, a origem licita.                            PF realiza operação contra a deputada Carla Zambelli                    Quebras de sigilo      Moraes também determinou as quebras dos sigilos bancários, no período de junho de 2022 a junho de 2023, de Carla Zambelli e Walter Delgatti Neto. E também da empresa em nome do hacker, a Delgatti Desenvolvimento de Sistemas.       O ministro também ordenou a quebra de sigilo bancário, no mesmo período, de Jean Hernani Guimarães Vilela, assessor da deputada na Câmara dos Deputados, e de Renan Cesar Silva Goulart, ex-assessor de Carla Zambelli.       Moraes determinou ainda a quebra de sigilo bancário, de junho de 2022 a junho de 2023, de Thiago Eliezer Martins Santos, hacker que também esteve envolvido na Vaza Jato.                                   Operação contra Carla Zambelli: Veja o que se sabe        A operação da PF      A operação desta quarta foi chamada de 3FA. Segundo a PF, o nome faz referência à autenticação de dois fatores (2FA), método de segurança de gerenciamento de identidade e acesso que exige duas formas de identificação para acessar recursos e dados.       O nome se refere ao fato de os mandados falsos de prisão e soltura terem sido inseridos nos bancos de dados do Judiciário Federal após invasão dos sistemas, com o uso de credenciais falsas obtidas de forma ilícita.       Segundo as investigações, após invadirem o sistema, o grupo passou a ter acesso remoto aos bancos de dados. Esse acesso foi interrompido após a descoberta, e medidas foram tomadas para evitar novas invasões.             Ainda de acordo com a PF, os fatos investigados configuram, em tese, os crimes de invasão de dispositivo informático e falsidade ideológica.      O que dizem os envolvidos      Em nota, a defesa de Walter Delgatti Neto confirmou a prisão do hacker, disse que não teve acesso à decisão e que ele está detido na Polícia Federal em Araraquara (SP).       A defesa de Carla Zambelli divulgou nota em que confirma as buscas e nega irregularidades da deputada. Leia abaixo:       A deputada federal Carla Zambelli confirma a realização de mandados de busca e apreensão em seus endereços nesta quarta-feira. A medida foi recebida com surpresa, porque a Deputada peticionou, através de seu advogado constituído, o Dr. Daniel Bialski, colocando-se à disposição para prestar todas informações necessárias e em nenhum momento a parlamentar deixou de cooperar com as autoridades. Respeita-se a decisão judicial, contudo, refuta-se a suspeita que tenha participado de qualquer ato ilícito. Por fim, a Deputada Carla Zambelli aguardará, com tranquilidade, o desfecho das investigações e a demonstração de sua inocência.""",Política,G1
"""JULIA DUAILIBI: PF quer ouvir Bolsonaro após prisão de hacker""",https://g1.globo.com/politica/blog/julia-duailibi/post/2023/08/02/policia-federal-quer-ouvir-bolsonaro-em-caso-do-hacker.ghtml,"""Blog da Julia Duailibi""",2023-08-02 19:09:55.657,""" MATEUS BONOMI/AGIF - AGÊNCIA DE FOTOGRAFIA/AGIF - AGÊNCIA DE              Será a quinta vez que Bolsonaro será ouvido em investigações pela PF.       Em depoimento à PF, o próprio Delgatti disse não ser possível invadir o sistema do TSE: Aduziu que não obteve sucesso ao tentar invadir o sistema do Tribunal Superior Eleitoral - TSE porque o código-fonte da urna eletrônica estaria hospedado em um computador offline.""",Política,G1
"""Nº de mortos em operação da PM no litoral de SP chega a 16""",https://g1.globo.com/sp/santos-regiao/noticia/2023/08/02/ssp-confirma-16-mortes-em-operacao-da-policia-no-litoral-de-sp.ghtml,"""Ação da polícia começou no dia 28 de julho após execução de PM da Rota, em Guarujá. Ouvidoria da PM diz que apura possíveis excessos.""",2023-08-02 14:41:31.865,""" Governo de SP             Reforço      O governador de São Paulo, Tarcísio de Freitas (Republicanos), e o secretário de segurança do estado, Guilherme Derrite, anunciaram aumento do efetivo policial e uma nova unidade em Guarujá, no litoral de São Paulo, após a morte do PM da Rota Patrick Bastos Reis. Segundo o governador, as ações se fazem necessárias pois o tráfico ocupou a Baixada Santista.       De acordo com Tarcísio, a Operação Escudo vai continuar na Baixada Santista por pelo menos 30 dias. Além disso, o governador ainda prometeu novas ações na região.       Nós vamos levar para a Baixada Santista o aumento de efetivo, unidade da Polícia Militar. Nós devemos ter mais uma unidade da Polícia na Baixada para aumentar o efetivo e responder o anseio da Baixada, disse Tarcísio.                    VÍDEOS: g1 em 1 minuto Santos           50 vídeos""",Santos e Região,G1
"""Garçom que saiu pra comprar macarrão e foi morto pela PM tinha filha pequena""",https://g1.globo.com/sp/sao-paulo/noticia/2023/08/02/garcom-de-barraca-de-praia-morto-aos-22-anos-pela-pm-no-guaruja-tinha-filha-enteadas-e-sonhava-ser-tiktoker.ghtml,"""Polícia teria perguntado a crianças de 7 e 9 anos se Filipe Nascimento tinha alguma coisa guardada, o que que ele fazia e se ele usava alguma coisa de errado. Patrão disse que jovem trabalhou com ele por cerca de 3 anos, era pontual e um dos que mais vendia. Mulher disse que, no dia da morte, Filipe saiu de bicicleta por volta das 20h para comprar macarrão em um mercado próximo.""",2023-08-02 20:07:33.314,""" Reprodução        O Ministério Público de São Paulo instaurou procedimento para analisar a operação policial. Dois promotores do Grupo de Atuação Especial da Segurança Pública e Controle Externo da Atividade Policial (Gaesp) vão acompanhar as investigações das mortes cometidas pelos policiais.             Em nota, a Defensoria Pública de São Paulo afirmou que foi acionada pela Ouvidoria das Polícias acompanha a operação policial por meio do Núcleo Especializado de Cidadania e Direitos Humanos.      Estratégia do crime organizado                            Sniper que matou policial do ROTA pede para Tarcísio parar de matar inocentes         O secretário da Segurança Pública de São Paulo, Guilherme Derrite, afirmou que o vídeo gravado pelo suspeito de matar o soldado Patrick Bastos Ries, momentos antes de ser preso, foi uma estratégia do crime organizado.       No vídeo, ele pede para que Derrite e o governador Tarcísio de Freitas (Republicanos) parem com a matança de supostos inocentes e que estava se entregando.       Depois que esse assassino foi preso, aí ele vira um bonzinho, um coitadinho, na verdade ele é o maior causador dessa tragedia que aconteceu na vida do soldado Reis. A verdade é que esse vídeo que ele fez, orientado pelos seus defensores, inclusive tem áudio do advogado o orientando a fazer esse vídeo, se os senhores ainda não possuem, ao longo das investigações vão tomar conhecimento disso, é uma estratégia do crime organizado, inclusive de cooptar moradores, de cooptar pessoas das comunidades que também são vítimas do tráfico organizado apresentando versões, afirmou.              Essa versão aí de indivíduo que foi torturado, isso não passa de narrativa para nós. Não chegou oficialmente nenhuma informação, muito menos indício, muito menos materialidade desse caso, o que chegou para gente foi que alguns criminosos optaram por reagir, por continuar enfrentando as forças policiais e os policiais têm que, em último caso, reagir a esses confrontos, ressaltou.""",São Paulo,G1
"""Jogador é baleado em ação policial na Bahia: Estava com café na mão""",https://g1.globo.com/ba/bahia/noticia/2023/08/02/jogador-de-futebol-e-baleado-durante-acao-policial-em-lauro-de-freitas.ghtml,"""Polícia diz que drogas e armas foram encontradas com o jovem e outro homem, que também foi atingido. advogada do atleta nega. Caso ocorreu 7 dias após outra ação policial em que uma criança foi baleada e morreu na cidade.""",2023-08-02 19:28:53.254,""" Reprodução/TV Bahia              Em março, um homem identificado como Givanildo Lino Silva , de 36 anos, foi morto no bairro de Porão, em Lauro de Freitas. A família diz que ele foi confundido com criminosos e que policiais militares chegaram ao local atirando.       Já a Polícia Militar informou, em nota, que o homem foi baleado durante uma troca de tiros, que começou após os policiais avistarem um grupo armado no bairro. A PM disse que armas e drogas foram encontradas com a vítima.       Três meses depois, no dia 23 de julho, Gabriel Silva da Conceição Júnior, de 10 anos, estava na porta de casa quando foi atingido. Na ocasião, acontecia uma operação policial em Portão, bairro que ele morava, assim como Givanildo.       A família afirma que o tiro que atingiu Gabriel foi disparado pelos policias, mas a informação só poderá ser confirmada após perícia.       O menino foi levado pela família para o Hospital Menandro Faria, mas não resistiu aos ferimentos e morreu em 24 de julho.       Segundo a Secretaria de Segurança Pública da Bahia (SSP-BA), os três policiais militares envolvidos na ação que causou a morte do garoto foram afastados das atividades das ruas e as armas usadas na ação foram recolhidas.             Veja mais notícias do estado no g1 Bahia.      Assista aos vídeos do g1 e TV Bahia 💻          9 vídeos""",Bahia,G1
"""Operação policial no Rio deixa 10 mortos. vídeos mostram tiros""",https://g1.globo.com/rj/rio-de-janeiro/noticia/2023/08/02/policias-militar-e-civil-fazem-operacao-no-complexo-da-penha-moradores-relatam-intenso-confronto.ghtml,"""De acordo com informações do Setor de Inteligência da Polícia Militar, ocorreria uma reunião de chefes do tráfico de uma facção criminosa na Vila Cruzeiro. Entre os feridos está um PM atingido no abdômen.""",2023-08-02 09:29:25.641,"""Operação no Complexo da Penha deixa 10 mortos e três feridos                 Dez pessoas morreram e cinco ficaram feridas durante uma operação das polícias Militar e Civil no Complexo da Penha, Zona Norte do Rio, na manhã desta quarta-feira (2). Dois dos feridos são policiais militares do Bope.        Segundo a PM, 9 pessoas que foram baleadas são suspeitas de participar da troca de tiros e foram socorridas pelas forças policiais e morreram no Hospital Getúlio Vargas. Uma vítima foi socorrida por moradores e não teve sua identidade apurada.       A operação policial começou por volta das 3h da manhã e só terminou às 14h, depois de um protesto envolvendo moto-taxistas.                             Porta-voz da PM fala sobre operação no Complexo da Penha: Resistência grande               A motivação para a ação desta quarta foi a informação da inteligência da Polícia Militar, que descobriu que haveria uma reunião de líderes do Comando Vermelho em uma região dentro do Complexo da Penha, conhecida como Vacaria.       Segundo moradores, os confrontos e tiroteios começaram por volta das 3h. Muitos tiros, muitos tiros na mata. O caveirão subiu a parte da mata e bateu de frente com os bandidos todos armados, fortemente armados. Aí, estourou uma cena de guerra intensa aqui em cima na mata, disse um morador.      Estamos trabalhando para garantir a paz e segurança fluminense. O Estado vai tomar as medidas necessárias para garantir isso. É possível e provável que tenha mais lideranças do tráfico entre os mortos que ainda não foram identificados. Fomos lá para prendê-los, mas eles enfrentaram e acabaram mortos, afirmou o coronel Marco Andrade.      Durante o confronto, um policial militar foi ferido no abdômen e levado para o Hospital Estadual Getúlio Vargas (HGV), na Penha. Em seguida, ele foi transferido para o Hospital Central da Polícia Militar, no Estácio, no Centro do Rio. O estado de saúde do PM é estável.       Outro foi ferido por estilhaços no local do confronto,sem gravidade e socorrido ali mesmo.            Criminosos mortos      Um dos mortos foi identificado como Carlos Alberto Marques Toledo, conhecido como Fiel da Penha. Ele era gerente do tráfico de drogas no Sereno/Chatuba e vinha sendo procurado pela polícia.              Reprodução""",Rio de Janeiro,G1
"""Haddad diz que queda nos juros facilitará crescimento sustentável """,https://g1.globo.com/economia/noticia/2023/08/02/haddad-selic.ghtml,"""Ministro da Fazenda comentou decisão do Banco Central de fazer o primeiro corte na Selic em 3 anos. Haddad também disse que queda nos juros é fruto do diálogo entre governo e BC.""",2023-08-02 22:19:24.605000,"""O ministro da Fazenda, Fernando Haddad, comentou nesta quarta-feira (2) a queda na taxa Selic, de 13,75% ao ano para 13,25%. Haddad disse que o corte vai facilitar o crescimento sustentável.        Esse foi o primeiro corte da taxa básica de juros em três anos. A última queda havia acontecido em agosto de 2020, em meio à fase mais aguda da pandemia de Covid-19, quando a taxa Selic caiu de 2,5% para 2% ao ano.       No comunicado divulgado após a reunião, o comitê argumentou que a melhora do cenário para a inflação possibilitou a redução da Selic.       Vai ter mais otimismo. Os investidores, o mundo todo vai olhar para o Brasil com mais otimismo, disse Haddad.        O ministro também afirmou que a queda na taxa básica de juros foi fruto de muito diálogo. Ele fez referência à relação entre a Fazenda e o Banco Central. O governo vinha, desde o início do ano, criticando o BC por manter a taxa em 13,75%.""",Economia,G1
"""ANA FLOR: corte mostra melhora na relação do BC com o governo""",https://g1.globo.com/globonews/jornal-globonews-edicao-das-18/video/reducao-da-taxa-selic-mostra-melhora-na-relacao-do-banco-central-com-o-governo-11833011.ghtml,"""Jornal GloboNews Edição das 18""",,"""""",GloboNews,G1
