nome,preço,categoria,origem,imagem,data_extração,data_validade_promoção
Alcatra Bov Friboi a Vácuo Kg (peça),27.98,Açougue,Supermercados Guanabara,www.supermercadosguanabara.com.br:443/sites/default/files/sistema/encarte/produtos/alcatra_com_maminha_friboi_150117_copy.png,2023-11-06 16:18:07.521970,06/11/2023
Contra Filé Maturatta Friboi (Peça) Kg,49.98,Açougue,Supermercados Guanabara,www.supermercadosguanabara.com.br:443/sites/default/files/sistema/encarte/produtos/contrafileu_bovino_maturatta_friboi_261606_copy.png,2023-11-06 16:18:07.522511,06/11/2023
Coração da Alcatra Maturatta  Friboi (Peça) Kg,49.98,Açougue,Supermercados Guanabara,www.supermercadosguanabara.com.br:443/sites/default/files/sistema/encarte/produtos/coracoaao_alcatra_resfriado_maturatta_friboi_240319_copy.png,2023-11-06 16:18:07.523042,06/11/2023
Coxa c/ Sobrecoxa de Frango c/ porção Dorsal Kg,5.99,Açougue,Supermercados Guanabara,www.supermercadosguanabara.com.br:443/sites/default/files/sistema/encarte/produtos/coxa_sobr_pr_280303_copy.png,2023-11-06 16:18:07.523556,06/11/2023
Coxinha das Asas de Frango Lar Kg,10.98,Açougue,Supermercados Guanabara,www.supermercadosguanabara.com.br:443/sites/default/files/sistema/encarte/produtos/drumet_frango_prod_150807_copy.png,2023-11-06 16:18:07.524070,06/11/2023
Filé de Peito de Frango Lar kg,13.98,Açougue,Supermercados Guanabara,www.supermercadosguanabara.com.br:443/sites/default/files/sistema/encarte/produtos/file_de_peito_de_frango_lar_pacote_kg_120420_copy.png,2023-11-06 16:18:07.524582,06/11/2023
Filé de Costela Friboi Maturatta PEÇA Kg,39.98,Açougue,Supermercados Guanabara,www.supermercadosguanabara.com.br:443/sites/default/files/sistema/encarte/produtos/bife_ancho_file_de_costela_maturatta_friboi_240319_copy.png,2023-11-06 16:18:07.525095,06/11/2023
Filé Mignon bovino Friboi do Chef Kg (peça),69.98,Açougue,Supermercados Guanabara,www.supermercadosguanabara.com.br:443/sites/default/files/sistema/encarte/produtos/fileu_mignon_bovino_do_chef_friboi_260616_copy.png,2023-11-06 16:18:07.525611,06/11/2023
Pá Bov Friboi a Vacuo Kg (peça),19.8,Açougue,Supermercados Guanabara,www.supermercadosguanabara.com.br:443/sites/default/files/sistema/encarte/produtos/carne_paleta_friboi_vacuo_220519_copy_0.png,2023-11-06 16:18:07.526125,06/11/2023
Peito Bov Friboi a Vacuo Kg (peça),19.8,Açougue,Supermercados Guanabara,www.supermercadosguanabara.com.br:443/sites/default/files/sistema/encarte/produtos/peito_bovino_vacuo_friboi_260519_copy_0.png,2023-11-06 16:18:07.526639,06/11/2023
Acém Bov Friboi a Vacuo Kg (peça),19.8,Açougue,Supermercados Guanabara,www.supermercadosguanabara.com.br:443/sites/default/files/sistema/encarte/produtos/carne_aceum_friboi_vacuo_220519_copy.png,2023-11-06 16:18:07.527159,06/11/2023
Peito de Frango kg,11.98,Açougue,Supermercados Guanabara,www.supermercadosguanabara.com.br:443/sites/default/files/sistema/encarte/produtos/old/8a4d4591c484c32b1d9c2a4fa10d70ac_1.png,2023-11-06 16:18:07.527679,06/11/2023
Coxa de Frango Seara Bandeja Kg,9.99,Açougue,Supermercados Guanabara,www.supermercadosguanabara.com.br:443/sites/default/files/sistema/encarte/produtos/coxa_seara_bandeja_kg_290117_copy.png,2023-11-06 16:18:07.528193,06/11/2023
Coxa de Frango Seara IQF Almofada Kg,9.99,Açougue,Supermercados Guanabara,www.supermercadosguanabara.com.br:443/sites/default/files/sistema/encarte/produtos/coxa_seara_pacote_zip_kg_29011_copy.png,2023-11-06 16:18:07.528709,06/11/2023
Cerveja Antarctica 269ml,1.87,Bebida,Supermercados Guanabara,www.supermercadosguanabara.com.br:443/sites/default/files/sistema/encarte/produtos/cerveja_antarctica_lata_269ml_100618_copy.png,2023-11-06 16:18:08.248749,06/11/2023
Cerveja Antarctica Latão 473ml,4.39,Bebida,Supermercados Guanabara,www.supermercadosguanabara.com.br:443/sites/default/files/sistema/encarte/produtos/cerveja_antarctica_lataao_473ml_100618_copy.png,2023-11-06 16:18:08.249278,06/11/2023
Cerveja Bohemia Latão 473ml,4.09,Bebida,Supermercados Guanabara,www.supermercadosguanabara.com.br:443/sites/default/files/sistema/encarte/produtos/cerveja_bohemia_473ml_300918_copy.png,2023-11-06 16:18:08.249800,06/11/2023
Cerveja Bohemia  Long Neck 355ml,4.49,Bebida,Supermercados Guanabara,www.supermercadosguanabara.com.br:443/sites/default/files/sistema/encarte/produtos/cerveja_bohemia_long_neck_355ml_300918_copy.png,2023-11-06 16:18:08.250320,06/11/2023
Cerveja Brahma Lata 269ml,1.99,Bebida,Supermercados Guanabara,www.supermercadosguanabara.com.br:443/sites/default/files/sistema/encarte/produtos/cerveja_brahma_lata_269ml_281018_copy.png,2023-11-06 16:18:08.250839,06/11/2023
Cerveja Brahma Long Neck 355ml,4.49,Bebida,Supermercados Guanabara,www.supermercadosguanabara.com.br:443/sites/default/files/sistema/encarte/produtos/cerveja_brahma_long_neck_355ml_011020_copy.png,2023-11-06 16:18:08.251371,06/11/2023
Cerveja Brahma 350ML Pack c/18 Latas,59.24,Bebida,Supermercados Guanabara,www.supermercadosguanabara.com.br:443/sites/default/files/sistema/encarte/produtos/cerveja_brahma_pack_18_latas_100618_copy.png,2023-11-06 16:18:08.251892,06/11/2023
Cerveja Coronita 210ml,3.99,Bebida,Supermercados Guanabara,www.supermercadosguanabara.com.br:443/sites/default/files/sistema/encarte/produtos/cerveja_coronita_extra_210ml_310116_copy.png,2023-11-06 16:18:08.252421,06/11/2023
Cerveja Skol Latão 473ml,4.19,Bebida,Supermercados Guanabara,www.supermercadosguanabara.com.br:443/sites/default/files/sistema/encarte/produtos/cerveja_skol_lataao_473ml_170319_copy.png,2023-11-06 16:18:08.252943,06/11/2023
Cerveja Skol Puro Malte Latão 473ml,3.79,Bebida,Supermercados Guanabara,www.supermercadosguanabara.com.br:443/sites/default/files/sistema/encarte/produtos/cerveja_skol_puro_malte_lataao_473ml_200119_copy.png,2023-11-06 16:18:08.253465,06/11/2023
Refrigerante Pepsi Cola Pet 2l+250ml,6.59,Bebida,Supermercados Guanabara,www.supermercadosguanabara.com.br:443/sites/default/files/sistema/encarte/produtos/pepsi_2_250ml_gratis_281012_copy.png,2023-11-06 16:18:08.253985,06/11/2023
Pepsi Lata 269ml,1.99,Bebida,Supermercados Guanabara,www.supermercadosguanabara.com.br:443/sites/default/files/sistema/encarte/produtos/refrigerante_pepsi_lata_269ml_191018_copy.png,2023-11-06 16:18:08.254505,06/11/2023
